School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,Post,year,table_number,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,11/14,11/21,11/28,12/5,12/13,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/28,Final,11/15,11/23,11/29,12/6,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,3/7,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/2,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/5,12/12,2/27,3/6,11/16,2/29,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/9,11/22
TCU,MWC,23,,,,,,,,,,,,,,,,,,,,,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
UConn,Big East,1,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Stanford,Pac-10,2,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Tennessee,SEC,6,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,,,,,,,,,,,6,4,3,4,4,4,4,3,5,5,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
Nebraska,Big 12,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,24,20,14,13,12,11,7,6,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier,A-10,9,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,9,,,,,,,,,,,,,,9,8,12,15,15,16,14,11,10,7,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Duke,ACC,11,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,10,,,,,,,,,,,,,,11,7,7,8,8,9,7,6,7,6,8,8,6,9,7,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
Notre Dame,Big East,5,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,5,,,,,,,,,,,,,,5,3,4,3,3,3,3,4,3,3,4,4,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Ohio State,Big Ten,3,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,,,,,,,,,,,,,,3,9,8,6,6,6,5,5,4,8,7,7,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Texas A&M,Big 12,15,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,11,,,,,,,,,,,,,,10,10,13,10,10,10,8,9,8,12,13,15,12,15,11,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
West Virginia,Big East,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,22,18,16,16,11,9,9,8,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,13,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,12,,,,,,,,,,,,,,12,12,10,12,12,13,16,15,13,15,10,10,9,8,10,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,
Oklahoma,Big 12,20,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,20,,,,,,,,,,,,,,18,16,15,13,14,14,13,13,11,13,12,11,11,11,12,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
Georgetown,Big East,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,24,19,17,18,16,14,13,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,8,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,8,,,,,,,,,,,,,,8,6,6,5,5,5,9,10,14,15,11,18,17,14,16,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
St. John's (NY),Big East,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,25,25,22,18,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,22,22,20,13,15,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,10,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,13,,,,,,,,,,,,,,17,17,17,17,17,15,19,20,19,17,14,12,14,18,15,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,24,22,21,19,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,20,17,16,16,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State,Big 12,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,23,15,12,15,10,15,17,23,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,7,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,7,,,,,,,,,,,,,,7,5,5,11,11,11,12,18,18,19,23,23,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
UCLA,Pac-10,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,16,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,14,,,,,,,,,,,,,,13,13,11,9,9,8,6,8,9,14,19,20,24,22,24,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
Michigan State,Big Ten,21,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,25,,,,,,,,,,,,,,22,21,16,16,16,19,20,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,
Hartford,AmEast,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,ACC,12,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,14,19,19,23,23,21,23,25,21,,,,21,24,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Georgia Tech,ACC,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,25,24,24,20,21,22,25,21,21,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,MWC,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,23,20,,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,SEC,22,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,16,18,18,19,18,17,,21,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,
UNC,ACC,4,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,11,9,7,7,7,10,14,12,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Green Bay,Horizon,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,22,18,17,17,24,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn State,Big Ten,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,AmEast,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Big 12,19,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,24,23,22,21,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,
Arizona State,Pac-10,14,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,15,14,14,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,
Pitt,Big East,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,19,15,21,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison,CAA,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,A-10,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,Pac-10,17,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
Maryland,ACC,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,17,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,
Mississippi State,SEC,25,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,
San Diego State,MWC,,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Big East,23,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,
Middle Tennessee,Sun Belt,24,,,,,,,,,,,,,,,,,,,,,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
